hashtag,nonrumour,rumour
SistersDuet!❤️,1,0
5G,1,0
wEcommerceMumbai,0,1
GameOfLife,1,0
CCPVirus,6,0
clapforNHS,0,1
WearAMask,7,3
COVID19OhioReady,1,0
예리,1,0
Ramdev,1,0
thermalimaging,1,0
LASG,1,0
gavinwilliamson,1,0
BeBrave,3,2
ableg,2,1
HeroesAct,2,0
coronaviruske,0,1
justintrudeau,1,0
tuesdayvibes,1,0
LeaveNoOneBehind,1,0
ByTheRules,1,0
ChiefNursingOfficer,1,0
JapaneseArt,0,1
tylerperry,1,0
SCDemocraticPrimary.,1,0
PandemicDrone,1,0
tasty,1,0
WWE,2,0
italy,1,0
bbcnewsten,1,0
SEL,1,0
Pedowood,1,0
ReligiousFreedom,0,1
ThankYouThursday,0,1
PublicServiceWeek,1,0
debonairsknockdownday50,1,0
TrumpDeathToll92K,1,0
PiersMorgan,1,0
EndSarsNow,0,1
BBCNews,1,0
vanpoli,1,0
LocustOutbreak,1,0
texascovid,1,0
SouthDakota.,1,0
TheFive,0,1
TaCabron,1,0
dublin,1,0
MoscowMitchMcConnell,0,1
TuesdayThoughts,0,1
MichaelHickson.,1,0
BangsaBebal,1,0
OdishaHonorsCovidWarriors,1,0
cbcmb,1,0
TexansHelpingTexans,0,1
레드벨벳,1,0
COVID19IsJustANastyFlu,1,0
TrumpDeathToll81K,1,0
"MannKiBaat,",1,0
Coverup,1,0
playerstogether.,0,1
quarantini,1,0
climateaction,1,0
highestdeathrateinEurope,1,0
asthma.,1,0
CoronaVirus,36,2
BeBest.,1,0
ShareThis,1,0
Drogba,1,0
Plandemic,1,0
CNN,1,0
"Turkey,",1,0
Tragic,1,0
coleg,1,0
MinuteSilence,0,1
withme,1,0
TrumpTownHall,2,1
automotivevision,1,0
banned,0,1
FallCaball,1,0
AtulBakery,2,0
StayHomeSaveLives,23,2
SaveALife,1,0
MulikaCorona,1,0
RT,1,0
CuppyCares,0,1
whereistheinterpreter,1,0
MSM,2,0
EasterSunday,1,0
DemDebate,0,2
"penguins,",1,0
ChimeSweeps,1,0
wemattertoo,1,0
BLM,1,2
swearing,1,0
DoNotOpenCalifornia,1,0
Iran.,1,0
cpcldr,1,0
"Covid19.""",1,0
Vishakapatnam!,1,0
MCO,0,1
flashmob,1,0
TheResistance,1,0
EXO,2,0
COVIDKindness,1,0
Safety,1,0
CARESAct,2,0
CoronavirusOutbreak.,1,0
ICMRFIGHTSCOVID19,1,0
PaycheckProtectionProgram,3,0
MinistersPressBriefing,1,0
MentalHealthAwarenessWeek💙,1,0
Dallas,1,0
CloseThePubs,0,1
groundnews,0,1
ClassOf2020,1,0
OneMoreJumla,0,1
CoronaKillerNeem,1,0
socialdistanSING,1,0
Abuja,1,0
GetWellSoon,0,1
covid19contest,1,0
Alabama,2,0
PubsReopening,1,0
IndiaFightsCoronavirus,1,0
ShelterInPlace,0,1
IntegratedNavalForce.,1,0
Coronavirustruth,1,0
makeinindia,1,0
"Guangzhou,",1,0
teamwork!,1,0
WashYourHands,4,2
newyork,1,0
nffc,1,0
TwitchStreamAid,1,0
ottnews,2,0
Nomasks,1,0
WHO,5,0
Food,1,0
EndCovid,1,0
TwitterChat,1,0
WomenInPolitics,0,1
Coronavirus,126,27
CollinsKhosa,2,0
power,1,0
longreads,0,1
ECDC,1,0
contestalert,1,0
Covid-19,1,0
Breaking:,1,1
sdof,1,0
coronavirus.,64,10
IllegalImmigrants,1,0
"Coronavirus,",5,1
China!,1,0
Lockdown3,1,0
CoronavirusLockdownUK,1,0
newstarterfurlough,0,1
"Eurostar,",1,0
NoVaccineTrialsinNigeria,1,0
MS.,1,0
GlobalResponse,2,0
BloodOnTheirHands,1,0
ChildSex,1,0
ThePurge,1,0
Paris,2,0
COVIDView,2,1
uk,1,0
Houston,2,0
"Bangkok,",1,0
Pangolin,1,0
Rwanda,2,0
JoinThePolice,1,0
DNAMedicines,1,0
Ramadandiary,1,0
socialdistancing.,1,0
EPFO,0,2
day41oflockdown,1,0
Kingston,1,0
NOTINMYHOME,1,0
IndependentSAGE,1,0
drinkpurefruits,1,0
SuperSpreader,0,1
autotune,1,0
Adrenochrome,1,0
HIV,1,0
ShahidVsPelosi,1,0
महाराष्ट्र,1,0
suicideprevention,1,0
Iran's,0,1
contesttime,1,0
HCQ,1,0
BREAKING:,47,6
COVIDSafe,2,0
coronavirus‼️😡😡🤬,1,0
COVID-19,9,0
EtatsUnis,1,0
KAG,2,2
MigrantWorkers,0,1
Pride2020,1,0
Day13OfLockdown,1,0
COVID19's,2,0
SlowtheSpread,1,0
DEASP.,0,1
Ebola:,1,0
UIF,1,0
RBEIWellnessFirst,1,0
kidney,1,0
Onpoli,1,1
blessingscounts,1,0
UNICEF,0,1
police,1,0
PhysicalDistance,1,0
DevexFocus,1,0
Nara,1,0
TheNextNormal.,1,0
ThrivingWallet,1,0
mufc,2,1
RathYatra2020,1,0
LockdownDiaries,1,0
gay,1,0
YNWA,1,0
CoronaVirusCanada,1,0
PKMAP,1,0
FailedFedReaponse,0,1
Testandtrace,1,0
covid1in20,1,0
NeverForget.,1,0
PritiPatel,1,0
StayhomeStaysafe,0,1
GoCoronaGo,1,0
AIEthics,1,0
Trump2020NowMoreThanEver,1,0
BreakingNews,1,0
TrumpIsTheWORSTPresidentEVER,0,1
asylum,1,0
9Today,0,1
TheDivide,1,0
NewYork,1,1
Karnataka:,1,0
OHSAA,1,0
RiverChurch,0,1
AbortionIsNotHealthcare,1,0
ExecutiveOrder,1,1
pandemic?,1,0
CoverYourFreakinFace,1,0
LiveLife,1,0
Mumbai,1,1
8NN,1,0
CentralPark.,1,0
savealife,1,0
SB163,1,0
DonaldTrump’s,1,0
WuhanVirus.,1,0
NBSLiveAt9,1,3
TomorrowTogether,1,0
SaveOurWildWorld,1,0
COVIDIOTS,7,2
CHAZ,1,0
SmallBusiness,1,0
WeMakeEvents,1,0
giveaway,1,0
COVIDIDIOT,1,0
Homeopathy,1,0
COVIDIOTS.🤬,1,0
Iran,3,0
dailybriefing,1,0
CUBoulder,0,1
didyouknow,1,0
BlackLivesMattters,2,0
Ukweliwamambo,1,0
100KDead💀,0,1
DocsVsOfficials,1,0
curfew,1,0
SouthernKadunaMassacre,0,1
face_shields??,1,0
bebenang,1,0
StreetChildren,0,1
NoRA,1,0
StockMarket,1,0
contest,2,0
PMLN,1,0
11thHour,1,0
covid19nfld,1,0
nhs,1,0
TrumpIsALaughingStock,1,0
WhatAfterMay3,1,0
banbullfighting,1,0
BorisIsBack,0,1
doctorsday2020,1,0
Misuse,1,0
funny,1,0
Newsfeed,1,0
COVID19India,5,0
"PPE,",2,0
TrumpTulsaRally,1,1
MaskUpHoosiers,1,0
abed,1,1
"Reviews4Good,",1,0
dudukrumah,1,0
SpeakOut,1,0
clapforkeyworkers,0,1
quedateentucasa,1,0
OneVoice1,4,2
FirstUp,1,0
cancelfinalyearexams,1,0
StopTargetingMuslims,1,0
LegendSeries,1,0
insiders,1,0
"FaceCovering,",1,0
MakeAmericaGreatAgain,1,0
AimForZero,1,0
KilifiMedicalComplex,1,0
ChinaLiedPeopleDied,3,0
"smallbiz,",1,0
toronto.,1,0
AfricansAreNotLabRats,1,0
ITVideo,3,0
Tulsa,0,2
parenthood,1,0
boristhebutcher,1,0
oilprice,1,0
LockTheClock,0,1
news,2,0
DefeatTheMob,1,0
HongKong,2,0
MaskShaming,1,0
ChinaLiedAndPeopleDied,1,0
WeveGotACountryToSave,1,0
7,1,0
UNESCO’s,0,1
GapsInSupport,0,1
CoronavirusUSA,2,1
COVID19+,1,0
MaskOn,1,0
icantbreathe,1,0
FrontLineHeroes,1,0
CdnPSE,0,1
OnceAlways,0,1
BeKind,2,0
GMB,6,2
Stuttgart,1,0
GoJoe,2,1
Covid_19.,2,0
1000xworse,1,0
smallbiz.,1,0
SSHorseRacing,1,0
OpenSafely,0,1
MentalHealthMinute,1,0
testing,1,0
NationalDoctorsDay,3,0
everyoneneedsanOT,1,0
UNICEFThailand,1,0
transfers,1,0
MemorialDayWeekend2020,1,0
Hajj,1,0
SCASKSFAUCI,1,0
AZ,1,0
KitaTeguhKitaMenang,0,1
CoronaOutbreak,2,0
MaskUpIndia,1,0
STAYHOMESAVELIVES,1,0
IU,1,0
WSJWhatsNow,0,1
skpoli,1,0
NY,1,0
JoeBidenJob,1,0
RIPAbbaKyari,1,0
LotusHerbals,1,0
OpenCOVIDPledge,1,0
MaskUpPA,3,0
BC:,1,0
LOC,0,1
Arizona,6,0
recalldougducey,1,0
"BA,",0,1
deathorNYSE,0,1
NizamuddinMarkaz.,1,0
marr,2,0
CurbarEdge,1,0
YourNHSNeedsYou.,1,0
OneV1,1,0
kingscolddrinks,1,0
AmericaFirst!,1,0
HappyFathersDay,1,0
TrumpPandemicFailure,1,0
BorisJohnson,3,0
medstudenttwitter,1,0
CowUrine.,1,0
Day25ofLockdown,1,0
SponsoredbyDiscover,1,0
s.,1,0
UFCJAX,0,1
htx,0,1
NewsNight,0,1
TrumpIsNotWell,1,0
TogetherAgainstCovid19,1,0
coronavirus-,1,0
lovemydog,1,0
FlipItBlue,0,1
PressBreifing,0,1
NursingHomeDeaths,0,1
WeserveJoburg^TK,1,0
COVID19Ontario,2,0
Ramadan,1,1
China’s,1,0
Russia's,0,1
Angels,0,1
Kazakhstan,1,0
Covid19Out,1,1
CoronaVirus?,1,0
scfc,1,0
RTEInvestigates,0,1
Atleti,1,0
NoCPTPP,1,0
COVID19TSHELP,1,0
lalege,4,0
KendrickLamar,1,0
SuperM,3,0
TshegofatsoPule,1,0
SelfQuarantine,2,0
COVID19--,1,0
TrumpDeathToll137K,0,1
AbhishekBachchan,1,0
Trump2020,4,1
antibodytest,1,0
IndependenceFromTrump,0,1
SaturdayThoughts,0,1
PlayYourPart,1,0
informalsector.,1,0
PeakDistrict,1,0
CoronavirusLockdown,4,0
ksleg,0,1
COVID19PH.,1,0
DomesticViolence,0,1
SindhGovt,1,0
Collaboration,1,0
MoneyForThePeople,1,0
mask.,1,0
SyllabusForStudents2020,0,1
DonaldTrump,1,0
TweetforTaiwan!,0,1
BBCNewsTen,1,0
CoronaCrisis,1,0
JobLosses:,1,0
Hydroxychloroquine,6,2
SackCummings,1,0
JimClyburn,1,0
Pune-based,1,0
COVID.,4,0
irony,1,0
WATCH:,1,0
DemocratsAreDestroyingAmerica,1,0
TrumpIsACompleteFailure,0,1
AbbottResign,2,0
BoycottChineseProducts,1,0
Fresh,1,0
CoronavirusOutbreak,7,1
staysafe,5,0
MentalHealthAwarenessWeek,1,0
JoyNews,1,0
Russian,0,1
covid,8,0
propaganda,1,0
TrumpGolfsYouDie,1,0
"VEDay75,",1,0
WeWantDrFauciDailyBriefings,0,1
BJPsDistractAndRule,1,0
"covidhearing,",1,0
policereform.,0,1
PRISON,1,0
ArtistReliefCovid19IE,1,0
NBSUpdates,1,3
YouAreHighRisk.,1,0
GSTFreeCorona,1,0
MemorialDay,3,0
CluelessBJPGovt,2,0
12News,1,0
protests2020,1,0
CountyofVentura,1,0
EarthDay2020,1,0
MassTesting,5,0
quarantine,2,1
Hannity...,0,1
FIRSTFFC,0,1
Merica,1,0
CrossTalk,0,1
EidAlAdha,0,1
DeSantisResign,2,0
OurPresidentBernie,1,0
CoronaRelief,1,0
ProtectNM,1,0
TabligiJamaat),1,0
COVID19.,228,29
hongkong’s,1,0
brexit,1,0
14DayLockDown,1,0
SociopathInChief,0,1
COVIDiots,1,0
InternationalDayOfHappiness,1,0
AMRstaff,1,0
Matterhorn,3,0
svnitAgainstOnlineExams,1,0
covid19ontario,2,0
GenderData,1,0
"Hajj,",1,0
AssamCovidCount,3,0
AfricaWakeUp,1,0
MMQuarantine,1,1
lockdownend,1,0
PMका_देश_को_धोखा,1,0
AAPI,1,0
PMQS,1,0
dairyconsultants,1,0
"remdesivir,",1,0
Yahoo,1,0
TheSimpsons,1,0
AbKaroDeshKiRakhwali,1,0
Covidkerala,1,0
VoteLeave,1,0
China,29,2
covid19canada,1,0
YERI,1,0
"AlexJones,",1,0
HalloweenEnds,1,0
DraftAThon,1,0
ItHadToBeSaid,1,0
HermanCain’s,1,0
AirForceSalutes,2,0
texas,2,1
alpolitics,1,0
FGPayOurAprilSalary,1,0
PhysicalDistancing⁉️,1,0
NicoleGriggs,1,0
Poland,0,1
AWANInews,2,1
NBA,0,2
MasksforAll.,1,0
Biden2020,1,0
SF.,1,0
QuedateEnCasa,2,0
MedicalSupportEU,1,0
"JoeBiden,",1,0
NkosazanaDlaminiZuma,0,1
OnePerson,1,0
lockdown.,1,0
cdnpoli,25,5
SJC,1,0
loveOTs,1,0
COVIDIOT,2,1
saveThaiFarmers,1,0
OpenPandemics,1,0
EFC,2,0
Covid_19;,1,0
MadeInChinaVirus,1,0
ridge,1,0
Covid_19australia,1,0
AntibodyTesting,1,0
CDCFudging,1,0
OUTNOW,0,1
MountRushmore,1,0
NA,1,0
speakingmoistly,0,1
BHnasional,1,0
SwasthaBharat,1,0
freethebeach,0,1
DeSantisFailedFlorida,1,0
ICICIBank,1,0
VMAs,1,0
IsolationWard,1,0
มิวกลัฟ,1,0
digitalbanking,1,0
BorisJohnsons,1,0
ThankYouNHS,0,1
gwbps,1,0
COVID__19,8,2
cycling,1,0
Tanzania,1,0
BBCAN8,1,0
HappyBirthdayTrump,1,0
traderjoes,1,0
ManKiBaat?,1,0
welfare,0,1
AcedTheCognitiveTestBy,1,0
SARSCoV19,1,0
TopNews,1,0
LockDownSA,1,0
coronavirususa,1,0
MorningLive,1,0
DPANow,0,1
KeepYourRent,1,0
NewNormal...while,1,0
Soleimani,1,0
China-India,1,0
BengalRejectsAmitShah,1,0
AmericaVsNigeria,1,0
UniversityExams,1,1
R,0,1
QuarantineLife,3,0
ChinaVirus,1,0
COVID19italia,1,0
Pathology,1,0
COVIDmalaysia,1,0
covid19Canada,1,0
hornets,1,0
lockdownexit,1,0
EndIt,1,0
"MigrantWorkers,",1,0
M7Address.,1,0
PayBackTheMoney,1,0
ConfinementJour39,1,0
NexstarNation's,1,0
mogov,1,0
coronaviruschina,1,0
ClapForCarers,1,0
recipe,1,0
AWANI745,1,0
obesity,1,0
KitaMestiMenang,0,1
"Ohio,",1,0
"JNJ,",1,0
"DoctorsDay,",1,0
Jerusalem,0,1
independenceday2020,1,0
fridaymorning,1,0
StayHomeMN,0,1
LagosAgainstCovid19,1,0
Pizzagate,1,0
Telangana?,0,1
AcademicChatter,1,1
OPINION:,1,0
MassPromotion,1,0
gynocide,1,0
Day97OfLockdown,0,1
ANALYSIS:,2,0
NobodyLikesTrump,1,0
KIITKISSFightsCovid19,1,0
PuertoRico,1,0
NHSThankYou,2,0
"Magu,",1,0
excited,1,0
TestingTestingTesting.,1,0
live:,1,0
ConspiracyTheory,1,0
Hope,0,1
POTUS?,1,0
Birmingham,1,0
CCP.,1,0
Racist,1,0
RecallKateBrown,1,0
food,1,0
Covidngr,1,0
rainbows,1,0
UnlockWaterForAll,1,0
wtpTEAM,4,0
Cele,1,0
Newzroom405,1,0
HeroOfTheDay,1,0
coronavirusvaccine,2,0
CoronavirusLockdown:,1,0
PPE.,0,1
Covid19?,2,0
FactCheck,1,0
CoronavirusPH,0,1
HappyBirthdayNHS,0,1
COP26,2,0
TaiwanCanHelp.,1,0
HomeInstead,1,0
"TexansHelpingTexans,",1,0
COVID19?,3,1
abc13,1,0
CuppyFoundation,0,1
BroadcastingHouse,1,0
TabligiHeroes,1,0
FutureWeWant,1,0
kag,1,0
sapsNC,0,1
qldpol,1,0
coronavirusBotswana,1,0
SUPERNOVA's,1,0
ExtendTransition,1,0
organic,1,0
Sancho:,1,0
Police,1,0
PPENow,1,0
CardiB,0,1
FortDetrick,1,0
LalbaugchaRaja,1,0
코로나19,1,0
Taiwan.,1,0
MDW,1,0
fisayoscovid19series,1,0
DisabledNotDisposable,1,0
LuzonLockdown,5,0
deaf,1,0
UnitedNations,1,0
Brasile,1,0
DowningStPresser,1,0
NASSCOMFutureSkills,1,0
day57oflockdown,1,0
CashAppFriday.,1,0
maga,2,0
MaskUpMichigan,1,0
BatikKit,0,1
coronavirus,619,95
transited,1,0
FreshTweets,1,0
DVT,1,0
PatanjaliAyurved,1,0
PeoplesVaccine.,2,0
Hotline,1,0
GlobalCeasefire,1,0
PhysicalDistancing,3,0
BobAndDoug,1,0
StopAiringTrumpNow,0,1
Estevirusloparamosunidos,0,1
HelpUsHelpYou,1,0
BeBest,2,1
AskWHO,1,1
DohKyungsoo,1,0
Day10,1,0
Marvel,0,1
StatueOfDisplacement,0,1
PresserCOVID19,1,0
FindSomethingNew,0,1
ThanksHealthHeroes!,0,1
Futuro360,0,1
NTVOnTheSpot,1,0
TamilNadu,2,0
UMich,0,1
InThisTogetherOhio,6,1
hydroxychloroquine,3,1
ObamaWasBetterAtEverything,0,1
AllInIllinois,1,0
CivilRights,1,0
prayers,1,0
"RememberMe,",1,0
Impeachment,1,0
covidtexas,1,0
Derp,0,1
littleinvestment..,1,0
RacistInChief,1,0
DropTheLawsuit,1,0
IMFAfrica,3,0
NoSchool,1,0
WuhanCoronaVirus,3,1
Canada.,1,0
WheresPence,1,0
CoronaLockdown,2,1
geographyathome!,1,0
BREAKIKG:,1,0
CNNTownHall,3,1
DudukDalamRumah,0,1
Indonesia.,1,0
AllInIllinois.,1,0
CallitCovid19,0,1
love,1,0
Pakistan’s,1,0
Coronavirus...thoughts?,0,1
Toronto,2,1
AprilRyan,1,0
txlege,16,3
Section230,1,0
HuntingtonBeach,1,0
OpPIMA,0,1
Ohio.,2,0
promoteFinalYearStudents,1,0
DayBreak,0,1
chocella,1,0
MyBrothersKeeper,1,0
china,2,0
lesmis,1,0
RutgersImpact,1,0
MakechinaPay,1,0
coronavirusindia,3,0
EmergencyAppeal,1,0
NYT,1,0
LFC,3,0
dlaminizuma,1,0
fish,1,0
"Tennessee,",1,0
BillBarr,1,0
ad,1,0
GotSymptomsGetTested,0,1
Mentalhealth,1,0
lockdownindia,0,1
NoToABSCBNShutDown,1,0
ResiliArt,0,1
MAGA,10,6
Kerala,1,0
paternity,1,0
kingsdiet,1,0
Covid_19,29,3
hope,1,0
FinalYearExam,1,0
CBSE,2,1
StayHomeSavesLives,0,1
SB19ikakoSaASAP,0,1
Uighur,1,0
JoyNewsToday,1,0
GOPGenocide,1,0
Klpga,0,1
CharityBeginsAtHome,1,0
democracy2020,1,0
BJP,1,0
IndiaFightsCorona,12,2
ClapForBoris,1,0
LBC,1,0
15,1,0
covidtrackerapp,1,0
Cottonelle,1,0
ShareMyCheck,1,0
RacismInChina,1,0
"Chicago,",1,0
longtailcovid,1,0
HAPPYTALISM,1,0
deAdder,0,1
CoronaVirusUpdate,3,1
BT21,2,0
onome,1,0
Ganeshotsav,1,0
woodberry,0,1
Equality,1,0
AbbaKyari,1,0
CoverYourFaceHoles,1,0
cooking,1,0
corona,4,1
vaccine,1,0
SANDF,1,0
JobsReport:,0,1
StaySafeOhio,2,0
vijayabaskar,1,0
TrumpIsAnIdiot,1,1
whatdidwethinkwouldhappen,1,0
collegestudents,1,0
chocolate,1,0
JoySMS,1,1
COVID19-forced,1,0
Rays,1,0
FallonAtHome,0,1
MedicalSupplies,0,1
abc730,1,0
Corinavirus,0,1
SONA2020,0,1
keepsmiling,1,0
CoronavirusSA,1,0
hospital,2,0
midwives,0,1
NancyPelosi,1,0
Covid,4,0
conspiracy,1,0
Karnataka,1,0
maternityleave,1,0
AhHaHaHa,0,1
StopKillingWomen,1,0
blacklivesmatter,1,0
CovidSupportForce,1,0
dinner,1,0
chocolatehummus,1,0
voting,1,0
KomunikasiKita,0,1
pallicovid,1,0
PSG,1,0
Trump?,0,1
SSFootball,2,0
CoronavirusInSA,6,0
Modi’s,0,1
SonYeJin,1,0
WarAgainstVirus,1,1
playeveryday,1,0
ChineseVirus19,0,1
StayStrongLA,1,0
IAmProvidingAService,1,0
phillipschofield,1,0
"AJOpinion,",1,0
fakenews.,0,1
ForceForGood,1,0
"coronavirus,",36,5
WhiteHouseBriefing,1,0
convert,1,0
ContestAlert,3,0
Covid19UK,3,0
investigate,1,0
flattenthecurvechallege.,0,1
Maharashtra,1,2
Eyewitnessreport,1,0
fox10phoenix,1,0
CoronaVirus.Today,1,0
BePositive,1,0
ParksAndRec,1,0
Resist,1,0
yeg,2,0
CanadaHomeworkHelp,1,0
illegalimmigration,1,0
BBCAfricaEye.,1,0
Marr,9,0
BlackCoffee,0,1
DefendPressFreedom,1,0
UPDATE:,1,0
lockdown😋Just,1,0
ApologizeIndiaTV.,1,0
DefenseProductionAct,1,0
HighRiskCovid19,2,0
"LockDown2,",2,0
thrombosis,1,0
money,1,0
bats!,1,0
lockdown,23,0
AbachaLoot,1,0
TrumpsCoronavirusRally,1,0
MOG,2,1
NearZero,1,0
SocialDistancingNow,0,1
DNAVaccines,1,0
connection,0,1
SONA2020.,0,1
MaskUpAZ.,1,0
"Germany,",0,1
"MentalHealthMonth,",1,0
Transformation,1,0
pandemic:,0,1
BrainCellBlockTango,1,0
ChinaBlocksWION,1,0
carte,1,0
MaskMandates,1,0
TrumpBudget,1,0
TrumpRecession,1,0
EnglishNEWS,1,0
StayAlert,18,1
TX,1,0
"NationalDayofPrayer,",1,0
AmericasBanks,1,0
Decouple,1,0
"Hyderabad,",0,1
Newsnight,5,1
Ohio,0,1
AliensExist,0,1
"illegalaliens,",1,0
caregiving,2,0
GreenRecovery,1,0
Telangana,1,0
Beijing,1,1
BluestarZone,3,0
LetLondonBreathe,2,0
PenceLies,0,1
roma,1,0
Rajasthan,1,0
COVID19NIGERIA,2,0
Asymptomatic,1,0
QuarantineChronicles,1,0
SciComm,1,0
"UKLockdown,",1,0
COVID19inSA,3,0
Muslims,0,1
allinWA,1,0
"aviation,",1,0
genome,1,0
FightingCOVID19,1,0
lockdownextension,5,1
Juneteenth,1,0
ProtestLockdown,2,0
Greens,1,0
World,2,0
health,1,0
EFCCProbesIzeIyamu,1,0
Budget2020,0,1
AllHandsOnDeck,1,0
Canada,1,0
COVIDQUILT,1,0
COVAXIN,1,0
AFP,1,0
FREE,1,0
mepolitics,1,0
"Covid19,",6,1
Floridacoronavirus,1,1
reiders,1,0
Hantavirus,1,1
AirIndia,1,0
karenavirus,1,0
Covid19inSA,4,0
TheMandalorian,1,0
racism,2,0
G1,1,0
GregAbbot,1,0
bbnaija2020lockdown,1,0
Kano,2,0
LockdownMzansi,1,0
RoyalFreeLondon,1,0
Minneapolis,1,0
ClapForOurCarers,0,2
aviation,1,0
CT,1,0
Covid19India,1,0
CPECMakingProgress,1,0
OSH20,1,0
CoronavirusUS,0,1
NJ,2,0
COVID19ARGF,1,0
s0905,1,0
WillSmith,1,0
"OurNHSPeople,",0,1
BeijingBiden,1,0
"MoronInChief,",1,0
FamiliesFirst?,1,0
BlackLivesMattter,0,1
workingsafely:,1,0
rtept,1,0
FirstTimeParent,1,0
lupus.,1,0
Moid's,1,0
TigerForce,1,0
museums,1,0
CoronavirusPandemic:,1,0
covid1in10,1,0
protectthefrontline,1,0
VirginiaTech,1,0
corononavirus,0,1
KomeshaCorona,8,0
NEW:,5,0
NHS72,0,1
SocialDistance,1,0
PersonWomanManCameraTv,1,0
Singapore,1,0
vote,1,0
FiveEyes,1,0
TenStepsToGlobalHappiness,1,0
TrumpVirus,4,1
COVID19SA,1,0
andrewcuomo,1,0
BeatCOVID19,1,0
COVID19AB,1,0
"HeroesAct,",2,0
HealthyWeightForAll,1,0
cumgate,1,0
BiodiversityDay,1,0
WomenCount,1,0
CNNSesameStreet,2,0
dementia,1,0
Venezuela.,1,0
advantage,1,0
selectionbias.,1,0
WFH,1,0
fintech,1,0
IStandWithTucker,1,0
testingkits.,1,0
CoronavirusUK,1,0
"pressrelease,",1,0
FamiliesFirst,9,3
houston,2,1
TrumpMadness,1,1
StaySafeNigeria,1,0
statefairofTX,1,0
freecourses,1,0
AFC,3,0
SambitPatra,1,0
FactsOverFear,1,0
AbbaKyariFacts,1,0
BarnardsCastle,1,0
EvidenceBasedMedicine,1,0
JoeBiden,2,0
CoronavirusInSouthAfrica,1,0
animalcruelty,1,0
COVIDTesting,1,0
FixItJesus,0,1
LDNBLM,1,0
vituskickstarter,1,0
StopFascism,1,0
TrumpsCOVIDfails,1,0
StrongerTogether.,0,1
COVIDー19?’,0,1
HealthWorkers,0,1
StanfordMedLIVE,1,0
losingit,1,0
Bogota,1,0
MUFC,2,0
Covid19.She,1,0
COVID19Aus,1,0
LOONA,1,0
BrettHankison,0,1
Globalist,1,0
cdnmedia,2,0
WeGotUs,1,0
SomaleFoundation,1,0
PanicPorn,0,1
COVID19APHELP,1,0
"HarvardUniversity,",1,0
EveryRupeeCounts,0,1
cummings,1,0
TheKarenator2020,1,0
SwissCovid,0,1
디오,1,0
BuildBackBetter,3,0
Tribals,0,1
MotoGP,1,0
powercut,1,0
AhmaudArbery,0,1
LockdownQuestions,1,0
IslamabadPolice,1,0
HealthyAtHome!,2,0
UN,1,0
UkweliMtaani,1,0
Duh,1,0
TablighiJamaat,3,0
StayHomeSA,1,0
Fauci,2,0
TigerKing,2,1
Missouri,1,0
Stayathome,1,0
oceans,1,0
disinfectant,2,0
FBPE,0,1
CPTPP,1,0
"EarthDay,",1,0
HeWentToJared,1,0
COVID19quarantine,1,0
coronavirusuk,5,1
TariqJamil's,1,0
EXCLUSIVE,1,2
SouthAsia's,1,0
AdriaTour!,1,0
Chile,1,0
MadeInRwanda🇷🇼protective,1,0
كلنا_مسؤول,1,0
YesWeCare,1,0
JUST,1,0
APDGP,0,1
India,8,1
coronavirusdeaths,1,0
FireFauci,1,0
Corona,3,0
humanrights,1,0
LoveDeliveryFest,1,1
CCP's,1,0
CoronaVirusInNigeria,1,0
2020VISION,1,0
covid19australia,1,0
BandeUtkalaJanani,1,0
WBZ,3,0
Scotland,1,0
superspreaderRallies,0,1
borneobulletin,1,0
MaDrugz,1,0
WorldU17,1,0
TV3NewDay,1,0
odumeje,1,0
australialockdown,1,0
UniversityChallenge,1,0
CovidReadyStudy,1,0
Germany‘s,1,0
KoreanUpdates,2,0
StayAtHomeSaveLives,1,1
JantaCurfew,2,1
government,0,1
VaraVaraRao,1,0
"GlobalGoals,",1,0
VEDay75,1,0
Mumbai:,1,0
fauci,1,0
UKHeatwave,1,0
N95,1,0
9WWOS,1,0
Broadcast,1,0
IdiotDeBlasio,1,0
GoodTechIBM,1,0
CoronaHeroes,1,0
FatCats,1,0
"Florida,",2,0
AskQuestions,1,0
Whiston,0,1
COVID19…,1,0
SocialSecurity,0,2
EFL,4,0
FakeNews,1,0
ConfinementJour50,1,0
MonitorUpdates,1,1
healthcareheroes,0,1
itelSaysStaySafe,0,1
TogetherAtHome,8,1
MaskUpAZ,3,0
KEEPAFREAKIESTEVIEDISTANCE,1,0
CAREGivers,1,0
LIVE,1,0
FOX35,0,1
COVID_19uk,3,0
RockHall2020,1,0
Pernaut,1,0
IsolatedNotAlone,0,1
Mavericks,0,1
TruthLivesHere,0,1
"Avener,",1,0
Chinese,1,0
SundayMorning,1,0
covid_19,2,0
KHOU,1,0
MoreLiesMoreDie.,0,1
debt,1,0
EuropeDay,1,0
GlobalGoalUnite,2,0
Ridge:,2,0
SameStormDifferentBoat,1,0
GrandNational,1,0
Singapour,1,0
Jobseeker,1,0
COVID19Pandemic,6,0
Break:,1,0
pandemic.,2,0
61mps,1,0
COVIDー19🌐https://t.co/dtE12cgFxs,0,1
Germany’s,1,0
DoctorsDay.,0,1
"China,",1,0
TulsaTrumpRally,0,2
coviddeaths,1,0
InterMiamiCF,1,0
TrumpOwnsEveryDeath,1,4
WATCH,10,0
USMLE,1,0
Netherlands,1,0
covid19?,1,0
NewMinimumWageArrears,1,0
BAbetrayal,0,1
